	CPT000082.0012	CPT000114.0003	CPT000142.0009	CPT000146.0012	CPT000147.0001	CPT000185.0012	CPT000213.0003	CPT000221.0011	CPT000243.0011	CPT000245.0001	CPT000250.0011	CPT000263.0003	CPT000710.0003	CPT000760.0003	CPT000766.0001	CPT001026.0003	CPT001043.0003	CPT001061.0003	CPT001082.0003	CPT001100.0003	CPT001102.0003	CPT001552.0003	CPT001622.0003	CPT001637.0003	CPT001649.0003	CPT001653.0001	CPT001683.0003	CPT001787.0003	CPT001793.0001	CPT001879.0003	CPT001896.0003	CPT001984.0003	CPT002053.0003	CPT002253.0003	CPT002262.0003	CPT002283.0003	CPT002285.0001	CPT002363.0003	CPT002364.0001	CPT002381.0003	CPT002603.0004	CPT002627.0003	CPT002643.0003	CPT002653.0003	CPT002654.0001	CPT002665.0003	CPT002666.0001	CPT002677.0003	CPT002678.0001	CPT002702.0001	CPT002712.0003	CPT002713.0001	CPT002732.0003	CPT002742.0003	CPT002743.0001	CPT002752.0003	CPT002781.0003	CPT002797.0003	CPT006294.0003	CPT006309.0003	CPT006311.0001	CPT006325.0003	CPT006326.0001	CPT006338.0003	CPT006367.0003	CPT006379.0003	CPT006389.0003	CPT006390.0001	CPT006421.0003	CPT006424.0001	CPT006429.0004	CPT006432.0001	CPT006493.0004	CPT006495.0001	CPT007033.0004	CPT007345.0003	CPT007346.0001	CPT007352.0003	CPT007353.0001	CPT007373.0003	CPT007538.0003	CPT007590.0003	CPT007594.0001	CPT007616.0003	CPT007650.0003	CPT007686.0003	CPT007765.0003	CPT007766.0001	CPT007777.0003	CPT007778.0001	CPT007832.0004	CPT007836.0001	CPT007861.0003	CPT007871.0004	CPT007888.0003	CPT007957.0003	CPT008030.0003	CPT008040.0003	CPT008061.0003	CPT008062.0001	CPT008070.0003	CPT008088.0003	CPT008089.0001	CPT008098.0003	CPT008099.0001	CPT009328.0003	CPT009329.0000	CPT009771.0003
VEGFA	0.156	-0.529	-1	-1.5	-1.14	-0.168	-0.113	-1.07	-0.571	-0.512	-1.32	-0.0288	0.766	-0.0363	-0.435	0.499	-0.175	0.272	-0.57	-0.578	-1.42	0.1	-0.474	0.508	-0.657	0.507	-0.667	-1.5	-0.746	-0.179	2.87	-0.669	0.522	1.38	0.628	0.364	-0.124	-0.72	0.263	0.293	-0.486	-0.478	-0.262	0.565	-0.341	0.428	-1.17	0.306	0.569	0.148	-0.131	-0.687	0.0612	0.692	0.484	0.363	-0.646	-0.173	-1.63	-1.14	-0.364	-0.265	0.68	-0.637	0.0778	0.297	-0.34	0.739	1.01	-0.568	0.119	-0.909	-0.0839	-0.884	0.506	0.795	-0.381	-0.578	-0.65	0.672	1.58	-0.249	-0.252	0.344	0.673	0.0411	0.823	-0.08	-0.999	-0.101	-0.39	0.348	-0.903	-0.771	0.278	-0.871	-0.454	0.179	-0.113	0.631	0.303	0.252	-0.763	0.911	-0.009	-0.642	-0.466	0.493
MMP7	-0.305	-0.89	-0.946	1.39	-0.0823	1.1	-0.48	-0.721	-2.22	-0.958	1.76	0.973	-0.215	0.625	-1.06	1.03	0.388	-0.108	-0.555	2.8	-0.448	1.02	1.36	-0.499	-0.74	-2.18	0.803	-1.02	-1.69	0.0767	0.00526	2.02	-0.97	-1.82	1.36	0.223	-0.738	1.18	-0.67	0.157	-0.701	-1.39	-0.196	0.305	-0.751	-1.19	-1.72	-0.265	-1	-0.761	-1.27	-0.0838	-1.26	1.74	-1.04	2.82	-0.491	1.09	-0.331	2.99	-0.912	0.246	-1.21	-1.59	-0.186	-0.448	-0.268	-0.581	-0.301	-0.492	-0.52	-0.804	0.944	-0.714	1.92	-0.26	-1.24	-0.791	-0.131	-0.0235	1.25	0.829	-1.21	-0.758	-0.475	-1.15	-0.474	-0.484	0.407	-1.4	-1.17	-0.0367	0.194	-0.708	-0.182	0.115	0.991	-1.09	1.71	-0.887	-0.819	-0.475	-1.51	1.08	-1.26	-1.09	-1.06	0.82
CTNNB1	-0.694	0.644	-0.061	0.832	-0.868	-0.273	-0.0599	-0.734	0.152	-0.641	1.13	0.505	0.141	0.876	-0.777	-0.665	-0.156	0.0823	-0.401	0.772	-0.505	0.0728	0.686	0.385	-0.558	-0.669	0.291	0.271	-0.742	-1.18	0.393	-0.456	-0.305	-0.114	-0.761	0.165	-0.237	0.66	-0.94	-0.949	0.154	0.0975	0.733	0.32	-0.562	0.389	-0.992	-0.271	-0.581	-0.589	-0.0496	-0.452	-0.279	1.45	-0.894	0.0139	-0.0246	0.771	0.747	0.792	-0.669	0.859	-1.05	0.37	0.4	-0.276	0.559	-0.643	0.911	-0.608	0.166	-0.882	-0.354	-0.712	0.443	-0.301	-0.807	0.454	-0.161	0.225	-0.204	0.623	-1.18	0.128	0.0855	0.562	0.439	-0.677	0.73	-0.489	0.731	-0.754	-0.122	0.298	0.0595	0.175	-0.334	-0.759	-0.261	-0.263	-0.509	0.625	-0.93	-0.966	-0.735	0.033	-0.651	-1.21
CCND1		-0.89		-0.56	0.109			-1.24			0.371	-0.619	0.167	0.231	-0.709	0.704				0.213	0.0886	-0.515	-0.199				-0.309	-0.385	-0.0812			-0.771	-0.597		-0.172			-0.183	-0.409	-0.00832		-0.342	-0.732	-0.283	0.0733	-0.0915	-0.653											-0.268	-0.573					0.483	-0.0248		0.964	-0.674					0.35	-0.819		-0.695	-1.61			-0.191	1.79	2.02	0.443	0.347		-0.191			0.0736	-0.511			-0.0141	-0.373				-0.217			0.279					-1.63	-0.929	-0.27
WNT2		-0.167	0.201	-0.472	-0.896			-1.02	-1.64	0.28	-0.556	-0.11	-0.0873	-1.78	-0.0115	-0.595	-0.436	-0.541		-0.0998	-0.791	0.427	-0.239	0.484	-0.206	0.632	0.276	0.654	-0.415	-0.882	-0.581	-1.31	-0.493	-0.943	-0.3	0.0055	-0.574	-0.794	0.247	-0.901	-0.795	-0.0848	-0.229	-0.207	0.284	0.00994	0.572			0.36	0.988	0.605	0.71	-1.74	1.23	-0.356	-0.212	-1.24	-2.09	-1.33	0.559			-0.946	1.12	0.189	-1.11	0.982	-0.706	0.82	0.129	0.431	0.04	-1.06	-0.599	0.184	0.486	-0.542	1.01	-0.044	-1.46	-0.644	-0.682	-0.543	0.173	-0.555	0.181	1.35	-0.205	1.51	-1.57	-0.789	1.37	-1.1	-0.219		-0.82	0.59	-0.663	-1.23	-0.108	-0.492	-0.991	-0.0674	0.704	-0.829	0.0112	0.355
WNT2B		-1.17		-1.84	-0.385						-1.58	-0.609	-0.97	-2.26	0.172	-1.67	-1.55			-0.925	-0.0733	-0.613	-1.06		-1.61	-0.00117		-0.549	1.53	-1.33	-1.71	-0.995	-1.51	-1.65	-1.66			-2.06	-0.125	-1.55			-1.36	0.594	1.99	-0.63	1.43				0.385	1.18	0.662			-1.51		0.389	-0.642	-2.23	1.05			-1.01	0.382		-0.933	0.751	-2.08	0.722	0.201	0.377	-1.16	1.24						-0.733	-2.08	-2.26	-0.976	-0.403		-1.81	-1.33	0.25					0.805	-1.3				0.542			0.991							-0.408
WNT4	-1.76			-1.16	0.443	-1.53	-1.48	-1.15			-0.395	-0.437	-0.00351			-0.853	-1.09	-1.6	-0.449	-0.0673	0.0736	-0.0272	-0.897		-0.223	0.696	0.459	0.391	0.0565	-0.571	-1.62			-0.634	-1.18						-1.1	-0.9		-0.549	0.574	-0.757	1.24	0.562	0.714	-0.278	0.486	0.531	0.249	-1.14	0.76	-1.1	-1.04	-0.525		-1.36	1.29	-1.83	0.184	-1.67	0.134	-1.49			-1.1	0.942	-0.783	0.29			-0.963	0.423	0.515	-1.98	0.383	-0.159		-1.1	-0.727		-0.793		-0.843	0.813	-0.792	0.656	-0.941	0.786	1.93			-1.07	-0.481	0.198	2.25	-0.61	0.189			-0.494	-0.172	-1.07	0.0845	0.497
WNT5A	-0.498	-0.0401	-0.221	0.0757	-0.48	0.15	-0.0305	-1.57	-1.26	0.202	0.0856	0.564	-0.218	-1.55	-0.382	-0.764	-1.11	-0.526	-0.872	-0.0231	-0.677	-0.0644	0.356	0.31	-0.0349	0.0177	0.2	0.205	0.152	-0.708	-0.195	-1.03	-1	-0.105	-0.398	-0.381	-0.304	-0.78	-0.461	-0.96	0.112	-0.204	-0.269	0.00663	0.16	0.186	0.6	-0.569	-0.2	0.793	0.406	0.365	0.144	0.923	0.418	0.552	0.281	0.696	0.246	-0.234	-0.355	-0.764	0.198	0.38	0.417	0.272	-0.45	0.396	-0.467	0.0746	0.431	0.264	0.138	-1.17	0.287	-0.141	-0.465	-0.00914	0.432	0.396	-0.767	-0.735	-0.778	-0.678	0.319	-0.149	1.07	-0.0031	-0.205	0.211	-0.742	0.391	1.07	-0.346	-0.294	-0.203	0.42	-0.285	0.342	-0.161	0.312	0.651	-0.306	0.529	0.364	-0.177	-0.105	-0.093
WNT7A	-0.0551					2.76	0.579	1.09				-0.557		-0.774	-0.553			-1.7	-0.174			-0.115	-0.61		0.98	-0.239	-0.19	1.95	-0.441	1.56			0.179	-0.365				-0.351	-0.563	1.01		-0.319				0.281	-0.52	-0.15	0.126	-0.0641	-0.503	-0.367	-0.0165							-0.14	-0.0631	-1.35	0.0918			0.276							1.4	-0.0577	-0.0289	-0.159	-0.246	-1.74	0.587	-0.0431	0.692				0.217				-0.25	-0.465			-0.00823			0.448								2.57	-1.13	-0.604	-0.156	
